game_id,game_date,attendance,game_time
0024600073,1946-12-05 00:00:00,,
0024600077,1946-12-07 00:00:00,,
0024600081,1946-12-07 00:00:00,,
0024600079,1946-12-07 00:00:00,,
0024600083,1946-12-08 00:00:00,,
0024600082,1946-12-08 00:00:00,,
0024600084,1946-12-09 00:00:00,,
0024600086,1946-12-10 00:00:00,,
0024600085,1946-12-10 00:00:00,,
0024600088,1946-12-11 00:00:00,,
0024600087,1946-12-11 00:00:00,,
0024600089,1946-12-11 00:00:00,,
0024600091,1946-12-12 00:00:00,,
0024600092,1946-12-12 00:00:00,,
0024600090,1946-12-12 00:00:00,,
0024600093,1946-12-13 00:00:00,,
0024600096,1946-12-14 00:00:00,,
0024600094,1946-12-14 00:00:00,,
0024600095,1946-12-14 00:00:00,,
0024600098,1946-12-15 00:00:00,,
0024600097,1946-12-15 00:00:00,,
0024600100,1946-12-16 00:00:00,,
0024600101,1946-12-17 00:00:00,,
0024600102,1946-12-17 00:00:00,,
0024600103,1946-12-18 00:00:00,,
0024600104,1946-12-18 00:00:00,,
0024600107,1946-12-19 00:00:00,,
0024600106,1946-12-19 00:00:00,,
0024600108,1946-12-20 00:00:00,,
0024600109,1946-12-21 00:00:00,,
0024600110,1946-12-21 00:00:00,,
0024600112,1946-12-22 00:00:00,,
0024600113,1946-12-22 00:00:00,,
0024600115,1946-12-26 00:00:00,,
0024600116,1946-12-26 00:00:00,,
0024600119,1946-12-27 00:00:00,,
0024600121,1946-12-28 00:00:00,,
0024600120,1946-12-28 00:00:00,,
0024600122,1946-12-29 00:00:00,,
0024600126,1946-12-30 00:00:00,,
0024600128,1946-12-31 00:00:00,,
0024600127,1946-12-31 00:00:00,,
0024600130,1947-01-01 00:00:00,,
0024600132,1947-01-02 00:00:00,,
0024600136,1947-01-04 00:00:00,,
0024600135,1947-01-04 00:00:00,,
0024600138,1947-01-05 00:00:00,,
0024600141,1947-01-06 00:00:00,,
0024600140,1947-01-06 00:00:00,,
0024600139,1947-01-06 00:00:00,,
0024600143,1947-01-08 00:00:00,,
0024600144,1947-01-08 00:00:00,,
0024600145,1947-01-08 00:00:00,,
0024600142,1947-01-08 00:00:00,,
0024600148,1947-01-09 00:00:00,,
0024600147,1947-01-09 00:00:00,,
0024600146,1947-01-09 00:00:00,,
0024600150,1947-01-11 00:00:00,,
0024600151,1947-01-11 00:00:00,,
0024600153,1947-01-12 00:00:00,,
0024600154,1947-01-12 00:00:00,,
0024600155,1947-01-13 00:00:00,,
0024600156,1947-01-14 00:00:00,,
0024600159,1947-01-15 00:00:00,,
0024600160,1947-01-15 00:00:00,,
0024600161,1947-01-16 00:00:00,,
0024600162,1947-01-16 00:00:00,,
0024600163,1947-01-16 00:00:00,,
0024600165,1947-01-18 00:00:00,,
0024600166,1947-01-18 00:00:00,,
0024600168,1947-01-19 00:00:00,,
0024600167,1947-01-19 00:00:00,,
0024600170,1947-01-20 00:00:00,,
0024600169,1947-01-20 00:00:00,,
0024600171,1947-01-21 00:00:00,,
0024600172,1947-01-21 00:00:00,,
0024600174,1947-01-22 00:00:00,,
0024600173,1947-01-22 00:00:00,,
0024600176,1947-01-23 00:00:00,,
0024600178,1947-01-23 00:00:00,,
0024600179,1947-01-24 00:00:00,,
0024600180,1947-01-25 00:00:00,,
0024600181,1947-01-25 00:00:00,,
0024600184,1947-01-26 00:00:00,,
0024600183,1947-01-26 00:00:00,,
0024600185,1947-01-27 00:00:00,,
0024600188,1947-01-28 00:00:00,,
0024600191,1947-01-29 00:00:00,,
0024600189,1947-01-29 00:00:00,,
0024600190,1947-01-29 00:00:00,,
0024600194,1947-01-30 00:00:00,,
0024600193,1947-01-30 00:00:00,,
0024600195,1947-01-31 00:00:00,,
0024600197,1947-02-01 00:00:00,,
0024600196,1947-02-01 00:00:00,,
0024600201,1947-02-02 00:00:00,,
0024600199,1947-02-02 00:00:00,,
0024600202,1947-02-03 00:00:00,,
0024600203,1947-02-03 00:00:00,,
0024600204,1947-02-04 00:00:00,,
0024600207,1947-02-05 00:00:00,,
0024600206,1947-02-05 00:00:00,,
0024600205,1947-02-05 00:00:00,,
0024600210,1947-02-06 00:00:00,,
0024600211,1947-02-06 00:00:00,,
0024600208,1947-02-06 00:00:00,,
0024600214,1947-02-08 00:00:00,,
0024600212,1947-02-08 00:00:00,,
0024600217,1947-02-09 00:00:00,,
0024600218,1947-02-10 00:00:00,,
0024600220,1947-02-11 00:00:00,,
0024600219,1947-02-11 00:00:00,,
0024600223,1947-02-12 00:00:00,,
0024600225,1947-02-13 00:00:00,,
0024600224,1947-02-13 00:00:00,,
0024600227,1947-02-14 00:00:00,,
0024600230,1947-02-15 00:00:00,,
0024600228,1947-02-15 00:00:00,,
0024600229,1947-02-15 00:00:00,,
0024600234,1947-02-16 00:00:00,,
0024600232,1947-02-16 00:00:00,,
0024600233,1947-02-16 00:00:00,,
0024600231,1947-02-16 00:00:00,,
0024600235,1947-02-17 00:00:00,,
0024600236,1947-02-18 00:00:00,,
0024600237,1947-02-18 00:00:00,,
0024600240,1947-02-19 00:00:00,,
0024600239,1947-02-19 00:00:00,,
0024600238,1947-02-19 00:00:00,,
0024600242,1947-02-20 00:00:00,,
0024600241,1947-02-20 00:00:00,,
0024600245,1947-02-21 00:00:00,,
0024600248,1947-02-22 00:00:00,,
0024600247,1947-02-22 00:00:00,,
0024600249,1947-02-23 00:00:00,,
0024600253,1947-02-23 00:00:00,,
0024600250,1947-02-23 00:00:00,,
0024600251,1947-02-23 00:00:00,,
0024600254,1947-02-24 00:00:00,,
0024600255,1947-02-24 00:00:00,,
0024600257,1947-02-25 00:00:00,,
0024600259,1947-02-26 00:00:00,,
0024600261,1947-02-26 00:00:00,,
0024600260,1947-02-26 00:00:00,,
0024600262,1947-02-27 00:00:00,,
0024600264,1947-02-28 00:00:00,,
0024600267,1947-03-01 00:00:00,,
0024600265,1947-03-01 00:00:00,,
0024600266,1947-03-01 00:00:00,,
0024600268,1947-03-02 00:00:00,,
0024600269,1947-03-02 00:00:00,,
0024600270,1947-03-03 00:00:00,,
0024600271,1947-03-03 00:00:00,,
0024600273,1947-03-04 00:00:00,,
0024600274,1947-03-05 00:00:00,,
0024600276,1947-03-06 00:00:00,,
0024600279,1947-03-07 00:00:00,,
0024600280,1947-03-08 00:00:00,,
0024600283,1947-03-08 00:00:00,,
0024600282,1947-03-08 00:00:00,,
0024600281,1947-03-08 00:00:00,,
0024600285,1947-03-10 00:00:00,,
0024600287,1947-03-11 00:00:00,,
0024600288,1947-03-11 00:00:00,,
0024600290,1947-03-12 00:00:00,,
0024600289,1947-03-12 00:00:00,,
0024600293,1947-03-13 00:00:00,,
0024600294,1947-03-13 00:00:00,,
0024600291,1947-03-13 00:00:00,,
0024600296,1947-03-14 00:00:00,,
0024600297,1947-03-14 00:00:00,,
0024600302,1947-03-18 00:00:00,,
0024600300,1947-03-18 00:00:00,,
0024600305,1947-03-19 00:00:00,,
0024600304,1947-03-19 00:00:00,,
0024600307,1947-03-20 00:00:00,,
0024600306,1947-03-20 00:00:00,,
0024600308,1947-03-20 00:00:00,,
0024600309,1947-03-21 00:00:00,,
0024600310,1947-03-22 00:00:00,,
0024600313,1947-03-22 00:00:00,,
0024600311,1947-03-22 00:00:00,,
0024600314,1947-03-23 00:00:00,,
0024600316,1947-03-24 00:00:00,,
0024600317,1947-03-24 00:00:00,,
0024600318,1947-03-25 00:00:00,,
0024600319,1947-03-26 00:00:00,,
0024600320,1947-03-26 00:00:00,,
0024600322,1947-03-26 00:00:00,,
0024600323,1947-03-27 00:00:00,,
0024600324,1947-03-28 00:00:00,,
0024600328,1947-03-29 00:00:00,,
0024600327,1947-03-29 00:00:00,,
0024600326,1947-03-29 00:00:00,,
0024600329,1947-03-30 00:00:00,,
0024600330,1947-03-30 00:00:00,,
0024600331,1947-03-31 00:00:00,,
0044601021,1947-04-02 00:00:00,,
0044601011,1947-04-02 00:00:00,8273.0,
0044601012,1947-04-05 00:00:00,,
0044601022,1947-04-05 00:00:00,10321.0,
0044601013,1947-04-06 00:00:00,,
0044600223,1947-04-08 00:00:00,,
0044601023,1947-04-09 00:00:00,5124.0,
0044600224,1947-04-10 00:00:00,,
0044600211,1947-04-12 00:00:00,,
0044600225,1947-04-12 00:00:00,,
0044600226,1947-04-13 00:00:00,,
0044600212,1947-04-14 00:00:00,4607.0,
0044600411,1947-04-16 00:00:00,7918.0,
0044600412,1947-04-17 00:00:00,7604.0,
0044600413,1947-04-19 00:00:00,2209.0,
0044600414,1947-04-20 00:00:00,1934.0,
0044600415,1947-04-22 00:00:00,8221.0,
0024700001,1947-11-12 00:00:00,,
0024700005,1947-11-13 00:00:00,,
0024700002,1947-11-13 00:00:00,,
0024700004,1947-11-13 00:00:00,,
0024700006,1947-11-14 00:00:00,,
0024700008,1947-11-15 00:00:00,,
0024700010,1947-11-15 00:00:00,,
0024700009,1947-11-15 00:00:00,,
0024700007,1947-11-15 00:00:00,,
0024700012,1947-11-18 00:00:00,,
0024700014,1947-11-19 00:00:00,,
0024700013,1947-11-19 00:00:00,,
0024700016,1947-11-20 00:00:00,,
0024700018,1947-11-20 00:00:00,,
0024700015,1947-11-20 00:00:00,,
0024700019,1947-11-21 00:00:00,,
