season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college
2005,101252,Sean,Banks,Sean Banks,SF,77.75,6' 5.75'',79.0,6' 7'',206.4,85.0,7' 1'',108.0,9' 0'',,,,25.0,31.5,11.74,,3.35,7.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101188,Eddie,Basden,Eddie Basden,SG-SF,76.25,6' 4.25'',77.5,6' 5.5'',210,82.25,6' 10.25'',101.0,8' 5'',,,,33.0,36.5,10.52,,3.21,14.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12105,Mike,Bell,Mike Bell,SF-PF,80.75,6' 8.75'',81.25,6' 9.25'',206.2,85.5,7' 1.5'',104.5,8' 8.5'',,,,33.5,39.5,11.73,,3.29,13.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101106,Andrew,Bogut,Andrew Bogut,C-PF,83.0,6' 11'',84.25,7' 0.25'',250.6,87.0,7' 3'',110.5,9' 2.5'',,,,27.5,33.5,12.06,,3.51,13.0,,,,,,,,,,,,,,,,,,,,,,,
2005,200793,Dee,Brown,Dee Brown,PG-SG,71.0,5' 11'',72.0,6' 0'',179,74.0,6' 2'',94.0,7' 10'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,101198,Will,Bynum,Will Bynum,PG-SG,70.5,5' 10.5'',71.5,5' 11.5'',188.8,75.5,6' 3.5'',93.0,7' 9'',,,,33.0,40.5,11.12,,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12106,Marcus,Campbell,Marcus Campbell,C,82.25,6' 10.25'',84.25,7' 0.25'',280.4,90.0,7' 6'',114.0,9' 6'',,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101215,Will,Conroy,Will Conroy,PG,73.0,6' 1'',74.0,6' 2'',188.6,75.0,6' 3'',96.5,8' 0.5'',,,,30.5,36.5,10.51,,3.28,14.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12107,Taylor,Coppenrath,Taylor Coppenrath,PF-SF,79.75,6' 7.75'',81.25,6' 9.25'',252.4,83.5,6' 11.5'',106.5,8' 10.5'',,,,24.5,27.0,11.51,,3.44,5.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101143,Travis,Diener,Travis Diener,PG-SG,71.75,5' 11.75'',73.0,6' 1'',165.2,71.75,5' 11.75'',93.5,7' 9.5'',,,,24.5,31.0,10.85,,3.26,1.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101113,Ike,Diogu,Ike Diogu,PF,78.5,6' 6.5'',80.0,6' 8'',255.4,87.5,7' 3.5'',109.0,9' 1'',,,,28.0,31.0,11.94,,3.45,21.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12108,Daryl,Dorsey,Daryl Dorsey,PG,71.25,5' 11.25'',72.5,6' 0.5'',160.8,71.5,5' 11.5'',94.0,7' 10'',,,,25.0,30.5,11.41,,3.24,0.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101145,Monta,Ellis,Monta Ellis,SG-PG,74.25,6' 2.25'',75.25,6' 3.25'',176.6,74.75,6' 2.75'',98.0,8' 2'',,,,26.5,31.5,12.13,,3.31,0.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101109,Raymond,Felton,Raymond Felton,PG,71.5,5' 11.5'',72.25,6' 0.25'',199.4,76.25,6' 4.25'',98.0,8' 2'',,,,29.0,33.5,10.5,,3.06,6.0,,,,,,,,,,,,,,,,,,,,,,,
2005,201164,Rudy,Fernandez,Rudy Fernandez,SG,76.75,6' 4.75'',78.0,6' 6'',172,79.5,6' 7.5'',101.5,8' 5.5'',,,,26.5,35.5,10.48,,3.33,0.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12109,D'Or,Fischer,D'Or Fischer,C-PF,81.25,6' 9.25'',82.5,6' 10.5'',242.4,90.0,7' 6'',110.5,9' 2.5'',,,,28.0,30.5,12.53,,3.5,2.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12110,Eddy,Fobbs,Eddy Fobbs,C-PF,82.25,6' 10.25'',83.25,6' 11.25'',235.2,90.75,7' 6.75'',111.5,9' 3.5'',,,,29.5,34.0,11.53,,3.28,12.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101213,Sharrod,Ford,Sharrod Ford,PF,79.25,6' 7.25'',80.25,6' 8.25'',212.8,85.5,7' 1.5'',106.0,8' 10'',,,,28.5,37.0,11.92,,3.2,9.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101112,Channing,Frye,Channing Frye,PF-C,81.5,6' 9.5'',82.5,6' 10.5'',243.6,86.5,7' 2.5'',110.5,9' 2.5'',,,,27.5,31.0,11.6,,3.38,19.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101184,Deng,Gai,Deng Gai,PF-C,79.75,6' 7.75'',81.25,6' 9.25'',214,88.5,7' 4.5'',110.5,9' 2.5'',,,,31.5,35.5,12.51,,3.27,11.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101128,Francisco,Garcia,Francisco Garcia,SF-SG,77.75,6' 5.75'',79.0,6' 7'',189.6,82.75,6' 10.75'',103.0,8' 7'',,,,27.5,31.5,10.63,,3.33,5.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12111,John,Gilchrist,John Gilchrist,PG,73.25,6' 1.25'',74.5,6' 2.5'',195.2,81.25,6' 9.25'',96.5,8' 0.5'',,,,30.5,36.5,11.48,,3.15,12.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101162,Marcin,Gortat,Marcin Gortat,PF-C,83.0,6' 11'',84.0,7' 0'',225.2,87.5,7' 3.5'',110.0,9' 2'',,,,29.5,36.0,11.48,,3.33,18.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101121,Joey,Graham,Joey Graham,SF,77.25,6' 5.25'',78.5,6' 6.5'',216.6,80.0,6' 8'',104.0,8' 8'',,,,30.0,36.0,10.62,,3.05,26.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101122,Danny,Granger,Danny Granger,,79.5,6' 7.5'',80.5,6' 8.5'',225.4,85.5,7' 1.5'',103.0,8' 7'',,,,31.0,34.0,10.84,,3.34,10.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101123,Gerald,Green,Gerald Green,SF,78.0,6' 6'',79.25,6' 7.25'',192,81.75,6' 9.75'',104.0,8' 8'',,,,31.5,39.0,11.2,,3.21,7.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101236,Charles,Hayes,Charles Hayes,SF-PF,77.5,6' 5.5'',78.75,6' 6.75'',232.4,82.0,6' 10'',104.5,8' 8.5'',,,,30.0,33.0,10.7,,3.34,20.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101129,Luther,Head,Luther Head,PG-SG,74.0,6' 2'',75.0,6' 3'',178.8,77.25,6' 5.25'',98.5,8' 2.5'',,,,31.5,38.5,11.12,,3.21,14.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101125,Julius,Hodge,Julius Hodge,SG-SF,78.0,6' 6'',79.0,6' 7'',202.2,84.5,7' 0.5'',107.5,8' 11.5'',,,,24.5,29.0,10.89,,3.18,14.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12112,Jared,Homan,Jared Homan,C-PF,79.75,6' 7.75'',80.75,6' 8.75'',248.2,85.25,7' 1.25'',104.5,8' 8.5'',,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101141,Ersan,Ilyasova,Ersan Ilyasova,SF,79.75,6' 7.75'',81.0,6' 9'',208.8,85.25,7' 1.25'',109.5,9' 1.5'',,,,22.0,30.0,11.59,,3.56,2.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101127,Jarrett,Jack,Jarrett Jack,PG,74.5,6' 2.5'',75.5,6' 3.5'',197.6,79.5,6' 7.5'',100.0,8' 4'',,,,26.0,28.5,10.87,,3.24,5.0,,,,,,,,,,,,,,,,,,,,,,,
2005,101204,Dwayne,Jones,Dwayne Jones,C-PF,80.5,6' 8.5'',82.0,6' 10'',242.2,86.75,7' 2.75'',108.5,9' 0.5'',,,,28.0,31.5,11.87,,3.25,15.0,,,,,,,,,,,,,,,,,,,,,,,
2005,12113,Mindaugas,Katelynas,Mindaugas Katelynas,SF-PF,79.5,6' 7.5'',80.5,6' 8.5'',217,83.0,6' 11'',105.5,8' 9.5'',,,,31.5,35.0,11.6,,3.38,7.0,,,,,,,,,,,,,,,,,,,,,,,
2005,201318,Jason,Klotz,Jason Klotz,C-PF,80.5,6' 8.5'',81.75,6' 9.75'',249.4,82.0,6' 10'',107.5,8' 11.5'',,,,21.5,27.0,13.13,,3.68,12.0,,,,,,,,,,,,,,,,,,,,,,,
