game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0029600263,00,1610612745,HOU,Houston,46,11,22,19,6,4,1.0,15.0,11.0,,1610612755,PHI,Philadelphia,32,20,10,2,1.0,15.0,9.0,
0029600257,00,1610612746,LAC,Los Angeles,34,10,9,7,2,2,3.0,15.0,17.0,,1610612752,NYK,New York,50,27,6,23,0.0,21.0,6.0,
0029600260,00,1610612737,ATL,Atlanta,52,10,6,26,8,4,0.0,19.0,13.0,,1610612761,TOR,Toronto,36,12,2,6,3.0,23.0,13.0,
0029600261,00,1610612741,CHI,Chicago,18,4,3,4,9,12,1.0,11.0,5.0,,1610612748,MIA,Miami,32,20,7,11,0.0,8.0,9.0,
0029600262,00,1610612742,DAL,Dallas,48,7,16,16,7,11,1.0,20.0,8.0,,1610612763,VAN,Vancouver,22,15,16,7,0.0,14.0,8.0,
0029600258,00,1610612751,NJN,New Jersey,32,10,4,6,5,4,0.0,20.0,9.0,,1610612765,DET,Detroit,42,19,6,30,0.0,11.0,9.0,
0029600270,00,1610612747,LAL,Los Angeles,58,15,11,29,0,0,0.0,18.0,6.0,,1610612750,MIN,Minnesota,44,22,5,0,0.0,24.0,9.0,
0029600267,00,1610612746,LAC,Los Angeles,22,11,6,5,13,6,1.0,17.0,11.0,,1610612739,CLE,Cleveland,40,10,17,21,0.0,11.0,9.0,
0029600268,00,1610612749,MIL,Milwaukee,66,26,24,14,8,4,2.0,18.0,11.0,,1610612738,BOS,Boston,42,9,17,4,1.0,19.0,6.0,
0029600266,00,1610612761,TOR,Toronto,46,14,19,9,13,12,0.0,14.0,13.0,,1610612741,CHI,Chicago,20,14,22,13,0.0,12.0,10.0,
0029600272,00,1610612753,ORL,Orlando,28,2,9,0,0,0,0.0,19.0,3.0,,1610612758,SAC,Sacramento,50,8,22,22,0.0,15.0,15.0,
0029600271,00,1610612744,GSW,Golden State,54,12,8,29,10,6,2.0,17.0,4.0,,1610612759,SAS,San Antonio,44,19,4,5,0.0,16.0,15.0,
0029600269,00,1610612756,PHX,Phoenix,34,20,21,25,0,0,1.0,15.0,10.0,,1610612754,IND,Indiana,30,15,8,0,1.0,14.0,11.0,
0029600273,00,1610612755,PHI,Philadelphia,44,14,12,2,5,4,0.0,20.0,7.0,,1610612760,SEA,Seattle,74,17,21,25,0.0,12.0,9.0,
0029600274,00,1610612763,VAN,Vancouver,42,11,21,15,8,5,1.0,18.0,5.0,,1610612766,CHH,Charlotte,50,12,14,0,1.0,11.0,6.0,
0029600279,00,1610612765,DET,Detroit,24,11,4,11,5,1,0.0,6.0,8.0,,1610612749,MIL,Milwaukee,36,10,9,6,2.0,14.0,5.0,
0029600281,00,1610612762,UTA,Utah,40,13,15,27,6,1,0.0,19.0,9.0,,1610612754,IND,Indiana,26,10,8,1,1.0,14.0,8.0,
0029600283,00,1610612742,DAL,Dallas,44,14,10,11,10,8,0.0,13.0,9.0,,1610612746,LAC,Los Angeles,36,4,15,14,0.0,17.0,4.0,
0029600275,00,1610612764,WAS,Washington,30,8,12,6,3,4,0.0,21.0,13.0,,1610612752,NYK,New York,48,18,8,17,1.0,20.0,5.0,
0029600284,00,1610612758,SAC,Sacramento,32,6,12,5,4,4,1.0,19.0,8.0,,1610612747,LAL,Los Angeles,50,9,12,12,0.0,14.0,6.0,
0029600280,00,1610612745,HOU,Houston,62,8,20,8,9,11,1.0,15.0,16.0,,1610612750,MIN,Minnesota,30,16,12,9,0.0,10.0,9.0,
0029600278,00,1610612739,CLE,Cleveland,38,4,9,3,5,5,2.0,14.0,9.0,,1610612748,MIA,Miami,24,12,8,14,1.0,15.0,12.0,
0029600287,00,1610612751,NJN,New Jersey,42,16,18,19,11,3,0.0,21.0,3.0,,1610612760,SEA,Seattle,54,11,28,6,0.0,15.0,8.0,
0029600290,00,1610612766,CHH,Charlotte,48,16,12,0,9,10,0.0,18.0,13.0,,1610612743,DEN,Denver,30,9,9,4,0.0,11.0,5.0,
0029600291,00,1610612750,MIN,Minnesota,38,13,5,2,6,7,1.0,19.0,9.0,,1610612741,CHI,Chicago,26,18,13,28,0.0,14.0,3.0,
0029600298,00,1610612758,SAC,Sacramento,32,12,14,19,1,2,1.0,17.0,8.0,,1610612742,DAL,Dallas,50,14,6,2,0.0,15.0,6.0,
0029600294,00,1610612749,MIL,Milwaukee,28,10,16,9,11,6,2.0,18.0,10.0,,1610612760,SEA,Seattle,52,19,25,8,0.0,17.0,11.0,
0029600293,00,1610612752,NYK,New York,44,20,15,23,17,3,1.0,22.0,6.0,,1610612744,GSW,Golden State,26,13,3,6,0.0,15.0,10.0,
0029600299,00,1610612757,POR,Portland,50,18,14,23,2,3,1.0,17.0,11.0,,1610612763,VAN,Vancouver,38,10,14,3,0.0,14.0,11.0,
0029600296,00,1610612756,PHX,Phoenix,26,11,11,11,10,5,1.0,20.0,3.0,,1610612762,UTA,Utah,38,8,14,3,0.0,20.0,4.0,
0029600301,00,1610612743,DEN,Denver,26,13,13,11,12,7,2.0,17.0,12.0,,1610612764,WAS,Washington,50,16,18,7,0.0,10.0,6.0,
0029600303,00,1610612744,GSW,Golden State,30,14,5,8,10,10,0.0,22.0,4.0,,1610612739,CLE,Cleveland,40,20,6,16,3.0,17.0,10.0,
0029600302,00,1610612766,CHH,Charlotte,54,17,6,0,12,6,1.0,12.0,11.0,,1610612755,PHI,Philadelphia,30,11,6,7,0.0,15.0,7.0,
0029600307,00,1610612763,VAN,Vancouver,54,23,6,13,4,4,1.0,12.0,13.0,,1610612753,ORL,Orlando,36,19,12,3,0.0,23.0,7.0,
0029600300,00,1610612751,NJN,New Jersey,44,13,19,0,0,1,0.0,19.0,5.0,,1610612741,CHI,Chicago,22,8,16,28,0.0,19.0,13.0,
0029600305,00,1610612750,MIN,Minnesota,34,18,6,7,14,13,1.0,13.0,5.0,,1610612756,PHX,Phoenix,42,12,13,8,0.0,21.0,8.0,
0029600310,00,1610612737,ATL,Atlanta,48,11,11,27,2,0,0.0,11.0,7.0,,1610612755,PHI,Philadelphia,36,13,2,1,0.0,15.0,10.0,
0029600308,00,1610612743,DEN,Denver,22,12,2,9,14,10,4.0,15.0,9.0,,1610612752,NYK,New York,32,17,14,7,1.0,14.0,8.0,
0029600311,00,1610612741,CHI,Chicago,26,12,10,5,15,13,1.0,11.0,7.0,,1610612766,CHH,Charlotte,38,6,8,0,0.0,22.0,7.0,
0029600315,00,1610612753,ORL,Orlando,24,11,2,0,0,1,2.0,17.0,6.0,,1610612762,UTA,Utah,48,17,22,38,0.0,16.0,9.0,
0029600317,00,1610612745,HOU,Houston,36,15,13,18,1,0,0.0,17.0,10.0,,1610612760,SEA,Seattle,40,18,13,2,0.0,16.0,7.0,
0029600313,00,1610612750,MIN,Minnesota,18,12,0,10,1,0,0.0,12.0,13.0,,1610612739,CLE,Cleveland,32,12,0,10,1.0,8.0,4.0,
0029600309,00,1610612748,MIA,Miami,40,16,9,14,4,1,1.0,18.0,11.0,,1610612761,TOR,Toronto,46,21,6,1,1.0,14.0,5.0,
0029600312,00,1610612751,NJN,New Jersey,52,21,28,5,9,2,0.0,14.0,7.0,,1610612749,MIL,Milwaukee,50,14,22,15,0.0,14.0,7.0,
0029600319,00,1610612756,PHX,Phoenix,50,12,27,21,1,1,0.0,11.0,5.0,,1610612763,VAN,Vancouver,48,8,10,7,1.0,16.0,11.0,
0029600318,00,1610612765,DET,Detroit,40,6,10,17,6,6,1.0,16.0,10.0,,1610612738,BOS,Boston,26,13,8,2,0.0,18.0,4.0,
